generation,average life time
0,484.9234634712022
1,481.24050632911394
2,486.8523206751055
3,492.1369230769231
4,497.1723512934586
5,500.5039392637158
6,501.894024514811
7,504.5871759577885
8,506.443072132849
9,507.3051348004192
10,508.58047285464096
11,508.9742653028089
12,510.36022400484336
13,511.134742216864
14,512.1342326699613
15,512.8462315364221
16,513.0684087783293
17,514.233584073299
18,514.6990144865098
19,514.6800226314165
20,514.999310820124
21,515.1906108597285
22,515.5393177088047
23,515.7877352340389
24,515.9064748201439
25,516.0354549854792
26,515.9360283798534
27,515.8193606755127
28,516.0244720814034
29,516.5424183583407
30,516.5602149801451
31,517.0194081348285
32,517.0544171660545
33,517.0476175548589
34,517.0424459112578
35,517.0569592000714
36,517.1491039842255
37,517.2763499774062
38,517.3040884220945
39,517.2782823668512
40,517.1657789089764
41,517.2608238162453
42,517.389713626561
43,517.4048489607617
44,517.7059600105614
45,517.8742391125526
46,517.992309817646
47,518.1222598105549
48,518.3806618476026
49,518.8518726875392
50,518.8859727353803
51,518.9900074943793
52,518.7754709648387
53,518.7894948277593
54,518.9189556918344
55,518.9749200503925
56,519.0643016365957
57,519.1258950999138
58,519.1781792680902
59,519.3184293649929
60,519.289186534512
61,519.5564183194842
62,519.6081627714009
63,519.7082049273832
64,519.8382057127532
65,519.7862201336951
66,519.8807729941292
67,519.8720051455218
68,519.800872877321
69,519.8685886901128
70,519.9154227319739
71,519.8228338057359
72,519.7995757739868
73,519.9490342790125
74,520.0013630767427
75,520.047521199317
76,519.9852665608148
77,519.9930516325838
78,520.1426897975122
79,520.0935889308454
80,520.1321445586334
81,520.197673323919
82,520.1750418760469
83,520.0940443813803
84,519.9852577936091
85,520.0102964238887
86,519.9238161825463
87,520.0299392918641
88,519.9155234387632
89,519.8485105754679
90,519.9673204204789
91,520.0035855231495
92,519.9863483259738
93,520.2346810337729
94,520.2768657585284
95,520.3850759328981
96,520.3390758074999
97,520.3668886130233
98,520.4408303184599
99,520.5502934382564
100,520.4413858046996
101,520.343709637155
102,520.3626425600069
103,520.2800932579605
104,520.3518210000211
105,520.3477652172096
106,520.2289360027343
107,520.1689031714905
108,520.1312627798859
109,520.2285385987724
110,520.3033770694785
111,520.3218906211334
112,520.3133336604996
113,520.2949297994687
114,520.420106871407
115,520.3829426958767
116,520.3828798056852
117,520.4597038235737
118,520.453271987457
119,520.5565054867781
120,520.5565152739022
121,520.6412168560606
122,520.6558425717616
123,520.6921132819501
124,520.6585127288571
125,520.6932210117761
126,520.6689571862498
127,520.6998627328329
128,520.6446318767087
129,520.6395415521831
130,520.6915568694411
131,520.7325195164309
132,520.7243814480433
133,520.6878831170989
134,520.741486336095
135,520.7620782239976
136,520.763734165387
137,520.7079015334948
138,520.7277389987257
139,520.7722075917543
140,520.7526418879429
141,520.8446237317903
142,520.8690994308671
143,520.889843417746
144,520.8106320205295
145,520.8074885900509
146,520.8234710042218
147,520.7814818441329
148,520.7761956781994
149,520.7336734238589
150,520.6959948587637
151,520.640622820605
152,520.6375404766767
153,520.6250235497007
154,520.6299973361939
155,520.577760291856
156,520.5915847390758
157,520.5887305242044
158,520.5119859047164
159,520.5287948623188
160,520.5353335828447
161,520.5571367562578
162,520.5194324997946
163,520.535706263146
164,520.5722664970842
165,520.5815703468589
166,520.5301916057174
167,520.565505055202
168,520.5735163978815
169,520.5709182132209
170,520.5285445666084
171,520.5901414849429
172,520.6274841273938
173,520.6915341845536
174,520.694200116087
175,520.715658051589
176,520.7616540452605
177,520.7725226354995
178,520.819436479242
179,520.880837139546
180,520.8969187813192
181,520.9269102990033
182,520.9132587119273
183,520.9238903069731
184,520.9817445197386
185,520.9345054628752
186,520.9492940776485
187,520.9501723207242
188,520.9288884429703
189,520.9161695631752
190,520.9118418362877
191,520.8931630885822
192,520.9033701628709
193,520.8787950268392
194,520.8539019028645
195,520.8914241471967
196,520.9033577039172
197,520.8599328155472
198,520.8576803808648
199,520.8504510136644
200,520.8625277038699
