generation,average life time
0,470.18531468531467
1,470.38542825361515
2,471.56
3,475.59678313921245
4,476.0818242790074
5,476.71073613944003
6,477.8346780572694
7,480.7063590166186
8,481.23664215686273
9,482.0304501323919
10,482.84220589715204
11,483.9963285910968
12,484.14021364286316
13,483.98410843655057
14,483.827983479458
15,483.4301455584274
16,484.1593815613667
17,484.6558616963803
18,484.45510075926245
19,484.402786058865
20,484.36880458938447
21,483.8992766815923
22,484.17442024554305
23,483.9945505314358
24,484.4266874216284
25,483.9273908156043
26,484.584861099992
27,484.46575448361165
28,484.34965920518454
29,484.5597767374865
30,484.81683323466933
