generation,peso food,peso poison,raio food,raio poison,average life time,average fitness
0,-0.030777807253173056,-0.43151905115127215,53.50398125803879,53.55826629001579,817.36,87.07
1,2.0735541067705463,-1.0767127116829822,67.13868073796141,46.28732781569823,976.73,38.27
2,2.191347841742301,-1.2853680764381918,65.52006191679153,46.68604311476881,1047.77,33.42
3,2.257881871667712,-1.354435714271213,67.04937233551897,45.119585629087304,1059.53,31.35
4,2.3212945167177472,-1.5038384386977484,62.64808057413642,48.47011111781539,1079.84,33.14
5,2.405117014481523,-1.5119109584451906,63.016494568513245,47.72961374035183,1074.69,34.49
6,2.497719939303174,-1.5132339505326267,61.28711839534839,44.33669878693376,1084.67,35.52
7,2.4957205774940814,-1.5382662095244455,61.168956446205954,45.03714307855294,1072.03,34.05
8,2.547920552751733,-1.5351582949072233,61.08897933217317,46.71709708736407,1059.42,34.53
9,2.5232540052975567,-1.53678282210285,61.165998976972816,47.242527139915076,1084.07,33.05
10,2.5115418244525483,-1.5711355672916534,60.95283042485765,52.636309841314436,1072.039603960396,30.900990099009903
11,2.4470526573587406,-1.649168039394095,61.04259314373497,57.86950097289729,1070.18,36.22
12,2.452452875049377,-1.662318468455475,60.44898420479996,55.40441235860993,1077.6237623762377,31.217821782178216
13,2.5080312964943015,-1.6164008608736071,60.14984464274399,56.39044568485513,1059.95,34.8
14,2.5750887765918797,-1.65156990809322,59.73655589919244,51.374458879037284,1085.95,34.39
15,2.6183506556157137,-1.666076582675474,59.73733614039757,49.38434182558627,1051.4,35.43
16,2.5905108870654128,-1.658431387729365,60.54595226832827,52.40259088753176,1079.37,37.23
17,2.6119872519321343,-1.6465700849665024,61.13616094406032,53.372850735270575,1073.53,34.62
18,2.6109983326168553,-1.6350470920569486,61.25697760494008,52.140499910168366,1074.69,34.63
19,2.602858328883924,-1.6308774543392746,61.40424446489509,49.792216393680675,1058.55,37.43
20,2.6042482304991434,-1.6307608969578131,61.31340880741106,49.20572261631427,1068.85,34.94
21,2.595918556024697,-1.6416543159266233,60.81261891623603,48.749054856955475,1070.88,27.84
22,2.602869253427424,-1.6556287755007615,61.36476277934148,48.40506831730366,1076.45,34.7
23,2.60838502995681,-1.655259828533152,61.03770700623665,48.217885637850394,1068.5445544554455,33.86138613861386
24,2.609998443608154,-1.6670039310081533,62.08160203014652,48.461620556865284,1069.77,36.43
25,2.6057536700387955,-1.6696896921156636,61.59431755843632,46.343008361114435,1088.49,30.58
26,2.6078826326370534,-1.6889566166972898,61.53514990651576,45.9909560689293,1068.05,32.9
27,2.6002749280214847,-1.6776349687665888,60.25781052649747,45.3571821136811,1078.52,33.71
28,2.5970536628004255,-1.6728652756617726,60.726215512201364,45.814354250536596,1072.95,30.95
29,2.5920717791761763,-1.665612294538532,61.66158244543194,44.96444880167719,1079.2,33.09
30,2.591662454124328,-1.6730112858430597,61.233363015895044,45.26917105286577,1070.6534653465346,36.62376237623762
31,2.589959017335614,-1.6788611110227833,62.74725746517733,44.413620614203644,1072.47,36.43
32,2.5781556461321227,-1.6858850688741909,63.53210619956034,44.61236045621697,1070.1287128712872,41.31683168316832
