generation,peso food,peso poison,raio food,raio poison,average life time
0,0.15083262365146996,-0.09610153165742795,81.35874212529949,79.9310202497914,468.30661082859706
1,1.6767555364206383,-0.9549506035848161,83.89830140290482,69.65566320270888,553.6647058823529
2,2.15291514321714,-1.6164058218000557,83.2527798870566,47.45734283211258,587.7055837563452
3,2.0448564743902087,-1.71688934667272,92.4490772499683,45.80427282932986,602.9508196721312
4,2.0251058938044557,-1.7443219321782657,95.52914243359068,46.489559476298204,604.5443786982248
5,2.016090199526727,-2.091245332149293,95.81580795459647,38.64425252119348,579.6609195402299
6,2.0590976670414496,-2.1251639207348627,107.68712129744964,38.46318979968044,617.0837988826815
7,2.0798279712174588,-2.0647435782524823,112.68391215859515,35.769979830663225,634.5494505494505
8,2.1108784418336883,-2.1008209894325276,109.60105490902384,40.156090204696476,631.3417085427136
9,2.1057110648137902,-2.1368777883031416,114.27335499318595,42.45167242278193,603.56
10,2.0241245738693983,-2.1499685934520496,110.60406198594723,44.578153836865965,647.6056338028169
11,2.128695498934001,-2.159915917705693,113.1229558289803,44.86104518401547,619.0612244897959
12,2.14674486294793,-2.1535085290006135,116.72926895481523,42.64587012162804,568.0995024875622
13,2.2225824461129404,-2.152274749731327,117.88782920646827,46.397282327390805,612.82
14,2.248928695484101,-2.097618669503771,115.68547297925804,45.75892361506559,606.7631578947369
15,2.2346420485076606,-2.128208583750496,117.386950179648,46.29700555843169,641.7197802197802
16,2.192477352922324,-2.134484044528324,113.61160352549315,45.242467203146795,620.929347826087
17,2.217505256073281,-2.1290373662460254,107.05056938219278,48.754199926820895,628.0502793296089
18,2.1940945694407947,-2.108710939985471,104.05711817945843,43.97496622749634,615.6
19,2.191002235402252,-2.1398756721262315,101.97262755495383,44.93226077974298,614.578947368421
20,2.19586690528847,-2.1405909327770303,102.05071362657192,37.38686084902673,587.1067415730337
21,2.2253556627973214,-2.1360379863878123,100.43098529134723,43.71600477792903,642.5179487179487
22,2.2334706171128884,-2.1266493739409387,102.88680480780347,49.454816493627426,611.8762376237623
23,2.2020377475045603,-2.109060449895401,103.34138303508959,53.42048042033694,623.8670212765958
24,2.220650586480428,-2.092489297958313,103.45969866446445,50.136299021122746,612.1467391304348
25,2.210312803155776,-2.1276493105131813,106.29761753786568,46.7885866870044,618.8638743455498
26,2.1982148659867615,-2.107090590976833,106.53513682270729,44.20624506331871,616.1818181818181
27,2.2073658400207403,-2.0864315404910427,109.05762545497427,40.72050414686474,591.5222222222222
28,2.1938144351869933,-2.120038728733089,112.13465431244688,43.27462746197488,615.319587628866
29,2.191709264968236,-2.149341143728205,109.58184229053235,46.43454347403414,622.15625
30,2.1861226175891515,-2.0778321666682604,106.18339403615629,46.06384423731862,614.0
31,2.23017404625019,-2.0569879248677796,105.27633354194307,41.779780766016415,612.0872093023256
32,2.228273029558662,-2.000773035120465,101.03528754565836,46.71803271788955,582.5443786982248
33,2.233132157151662,-1.995180775336799,100.33270641785937,47.43635609709128,643.355
34,2.2397453962203815,-1.9810218718867254,100.35081700054221,49.20262650404173,613.6868686868687
35,2.244595099612264,-1.9934461822114795,101.10993926905564,45.45330849305601,610.6344086021505
36,2.2360700727917604,-2.049012977348804,98.29978505969942,42.75002475441852,617.5808080808081
37,2.2589032975963192,-2.062077988587361,99.94072345863697,42.67327886172462,601.2051282051282
38,2.274438965557021,-2.062401306999482,99.0168847119604,42.94434662043703,599.1273885350319
