generation,peso food,peso poison,raio food,raio poison,average life time
0,-0.2100403050824233,-0.2134685740590355,87.72252702442721,83.22666547890744,435.6242424242424
1,0.9208783644842178,-1.074855021198139,100.66835968555138,87.00590431410889,527.065868263473
2,1.9170622863660183,-1.3722671063101144,98.61326651900175,95.1453552576513,569.2057142857143
3,2.382457625417012,-1.483143682268933,93.55731711308997,90.23571670184225,582.9243243243243
4,2.546151046990887,-1.464196845660682,88.70731807684376,86.1613746090427,577.5209580838323
5,2.5423623005872353,-1.5286039837295389,89.54061279981894,89.3264350555798,584.0386473429952
6,2.596383307752636,-1.5241942506372523,93.74799219270915,88.8821901416933,584.939024390244
7,2.602832252006188,-1.573759959819434,91.24823933105912,93.86340317626455,568.6836734693877
8,2.628404387790376,-1.5446114211307957,94.9945964757042,92.27633561327406,570.1965317919075
9,2.5901374357544347,-1.5700477177458292,104.07792829752096,98.7868252337172,587.5510204081633
10,2.5848207199397195,-1.658177173452737,103.76670625833853,99.73974245636366,591.2046783625731
11,2.6001175216697523,-1.6114007511029114,100.30459613785169,96.8661172595015,580.4067796610169
12,2.581756780575989,-1.7412698322327265,98.29239695935688,96.62635370487452,577.8505154639175
13,2.6127351757391897,-1.767338932455882,98.00082419275645,97.73226368358313,599.0235849056604
14,2.627779699138391,-1.7432891431267141,98.2694523905828,93.0250002765249,588.0552763819095
15,2.624560073285225,-1.7650186737508649,93.16760315567707,92.95420227508018,574.2375690607735
16,2.6421306278266816,-1.760422286281838,92.41823611550281,84.43558837431385,588.4235294117647
17,2.6655190637932464,-1.8096140452128118,96.94339583990165,76.4135949364302,587.121546961326
18,2.6487964751272086,-1.7978941761535063,96.92141148916502,73.16224003440352,580.1411042944785
19,2.6610260855793313,-1.7460143076208252,94.14761051027067,70.31819920452098,595.2191011235955
20,2.641889105503413,-1.695415464518472,93.02527683450855,65.99521567146684,573.2754491017964
21,2.6423981914337276,-1.7687359108271064,87.88022815017125,68.58312364038966,588.6292682926829
22,2.6304437327193106,-1.7654613070462397,90.43854664380602,66.11335555967986,591.047619047619
23,2.6449250669159885,-1.726633740457055,96.15147848853282,65.62894761923431,588.1363636363636
24,2.674978889650014,-1.7243444002318513,93.96763636709888,72.18585399005607,574.9147727272727
25,2.6726343972711284,-1.7049277871467787,89.92774575348845,63.65091615528454,571.7598039215686
26,2.646242773575064,-1.7518391197941787,90.64479961172462,64.09787694408273,597.1666666666666
27,2.616527317478686,-1.7985536689889734,93.93053652208819,62.86224031446619,578.8449197860963
28,2.62643678873388,-1.7761484320352812,92.42929449387024,65.82824342695747,572.7459459459459
29,2.607411460943155,-1.8077016664958665,87.05275613508951,65.04724623027926,582.3829787234042
30,2.623733306062758,-1.814609167643392,86.18967694742102,65.155980042045,588.516129032258
31,2.595790763631387,-1.870257038493498,90.9292572229081,63.44257611420077,596.4730538922156
32,2.589911807268209,-1.8823120633143415,96.24237716683243,65.1386324999528,600.5982532751092
33,2.567640399188467,-1.8490034107800493,91.7960234771787,63.92635990702826,583.983606557377
34,2.577472390460739,-1.8381201587407052,96.14311465179054,65.61244299320613,563.4216867469879
35,2.6041655843398854,-1.8587799398861453,103.89410541786155,64.9573319862282,566.3841463414634
36,2.5402731369087794,-1.8986244063841027,104.56245694233668,63.23085489501865,584.3703703703703
37,2.5372150638722206,-1.9099755843870616,104.97445766014025,62.02947989810407,589.0568181818181
38,2.5798994488870375,-1.9498234997946562,107.0825270671759,60.86388533136002,568.5337078651686
39,2.6770727201005804,-1.9677465683202322,109.54872737566242,60.11260347769397,591.556179775281
40,2.6826969234183435,-1.9971821815339026,115.09980516722445,59.80517939702814,572.7440476190476
41,2.727227238742186,-1.917090966879976,120.3825599578717,58.893280571422885,576.8652849740932
42,2.7628030218117603,-1.9554252689759977,123.13882747345535,57.140810524946936,571.921052631579
43,2.796895546072065,-2.0005296125228704,120.727087683886,56.47660439100114,573.3932584269663
