generation,average life time,peso food,peso poison,raio food,raio poison
82,580.087587375556,0,0,0,0
83,580.499004401593,0,0,0,0
84,580.8307748158904,0,0,0,0
85,581.0740968801314,0,0,0,0
86,581.3292862585726,0,0,0,0
87,581.4835756325771,0,0,0,0
88,581.7326357747883,0,0,0,0
89,581.9662012137958,0,0,0,0
90,582.3801092576334,0,0,0,0
91,582.7823500967118,0,0,0,0
92,583.0140386181783,0,0,0,0
93,583.264631888736,0,0,0,0
94,583.4753489683696,0,0,0,0
95,583.4545496988655,0,0,0,0
96,583.5357192462614,0,0,0,0
97,583.9046395300812,0,0,0,0
98,584.0072361534611,0,0,0,0
99,584.2314317925592,0,0,0,0
100,584.5254851113297,0,0,0,0
101,584.7358766449555,0,0,0,0
102,584.8406931738213,0,0,0,0
103,585.0618480206015,0,0,0,0
104,585.2246495933553,0,0,0,0
105,585.6888946103674,0,0,0,0
106,585.8376435559336,0,0,0,0
107,586.0265692320689,0,0,0,0
108,586.2524296246648,0,0,0,0
109,586.5091899534265,0,0,0,0
110,586.6867489779906,0,0,0,0
111,586.9561493381419,0,0,0,0
112,587.1986593540524,0,0,0,0
113,587.3743246512378,0,0,0,0
114,587.4056411282256,0,0,0,0
115,587.4036912085732,0,0,0,0
116,587.671811023622,0,0,0,0
117,587.804951384279,0,0,0,0
118,588.1234505732879,0,0,0,0
119,588.252352963774,0,0,0,0
120,588.1728201998627,0,0,0,0
121,588.2665050566267,0,0,0,0
122,588.4243108052202,0,0,0,0
123,588.6969334777574,0,0,0,0
124,588.6730854853072,0,0,0,0
125,588.8440721649484,0,0,0,0
126,588.9849769720008,0,0,0,0
127,589.1900475481833,0,0,0,0
128,589.2276938606294,0,0,0,0
129,589.3434983356598,0,0,0,0
130,589.5976390271654,0,0,0,0
131,589.7585355530474,0,0,0,0
132,589.8318965517242,0,0,0,0
133,589.926615400675,0,0,0,0
134,589.8997822103917,0,0,0,0
135,589.9011200439771,0,0,0,0
136,590.0149488054608,0,0,0,0
137,590.2171025884267,0,0,0,0
138,590.3418961686082,0,0,0,0
139,590.5014715719063,0,0,0,0
140,590.6334595204888,0,0,0,0
141,590.718308464281,0,0,0,0
142,590.9422238252943,0,0,0,0
143,591.2147207295229,0,0,0,0
144,591.557781301576,0,0,0,0
145,591.6733395456445,0,0,0,0
146,591.7476847416491,0,0,0,0
147,591.8440844846752,0,0,0,0
148,591.9254815282602,0,0,0,0
149,592.0466503421862,0,0,0,0
150,592.2081487489861,0,0,0,0
151,592.3111717804734,0,0,0,0
152,592.505121243907,0,0,0,0
153,592.3798742138365,0,0,0,0
154,592.4908203720646,0,0,0,0
155,592.5555084232215,0,0,0,0
156,592.7617485022729,0,0,0,0
157,592.8823582277344,0,0,0,0
158,593.1312105325867,0,0,0,0
159,593.12932566959,0,0,0,0
160,593.4179293300774,0,0,0,0
161,593.4990058479532,0,0,0,0
162,593.5163600372613,0,0,0,0
163,593.7118369237896,0,0,0,0
164,593.8905241935483,0,0,0,0
165,593.9917795663506,0,0,0,0
166,594.1614225917594,0,0,0,0
167,594.2037971096628,0,0,0,0
168,594.3899952116723,0,0,0,0
169,594.3912288076223,0,0,0,0
170,594.4149401890528,0,0,0,0
171,594.5804108563666,0,0,0,0
172,594.7301000854725,0,0,0,0
173,594.9370182416678,0,0,0,0
174,595.1264800567469,0,0,0,0
175,595.3387927761809,0,0,0,0
176,595.4881745368248,0,0,0,0
177,595.6764366427785,0,0,0,0
178,595.7428312062797,0,0,0,0
179,595.7915792826993,0,0,0,0
180,595.8418759407431,0,0,0,0
181,595.850189234651,0,0,0,0
182,595.8594109646369,0,0,0,0
183,595.8908986804778,0,0,0,0
184,595.9918960205059,0,0,0,0
185,596.1377968983461,0,0,0,0
186,596.2447432449737,0,0,0,0
187,596.2915923112222,0,0,0,0
188,596.4134912983916,0,0,0,0
189,596.4856291357277,0,0,0,0
190,596.4618361858805,0,0,0,0
191,596.7109271440362,0,0,0,0
192,596.8317319659482,0,0,0,0
193,596.9489403891437,0,0,0,0
194,597.1058719080619,0,0,0,0
195,597.2010402865695,0,0,0,0
196,597.2708068770147,0,0,0,0
197,597.3433724689468,0,0,0,0
198,597.3735569592682,0,0,0,0
199,597.5088775928112,0,0,0,0
200,597.583081570997,0,0,0,0
201,597.6508717458801,0,0,0,0
202,597.7708957708958,0,0,0,0
203,597.7261208346162,0,0,0,0
204,597.7487855492147,0,0,0,0
205,597.752430147922,0,0,0,0
206,597.7974843355466,0,0,0,0
207,597.803845795698,0,0,0,0
208,597.9097231882042,0,0,0,0
209,598.0795727205611,0,0,0,0
210,598.1890910761879,0,0,0,0
211,598.2955964771818,0,0,0,0
212,598.3937626717088,0,0,0,0
213,598.5537013943997,0,0,0,0
214,598.5473180422612,0,0,0,0
215,598.5601942402374,0,0,0,0
216,598.6019069788263,0,0,0,0
217,598.5711960762457,0,0,0,0
218,598.7007615283852,0,0,0,0
219,598.6752244482774,0,0,0,0
220,598.8004974905344,0,0,0,0
221,598.8517893537288,0,0,0,0
222,598.8802199240738,0,0,0,0
223,598.9095987479894,0,0,0,0
224,598.948560294436,0,0,0,0
225,599.0187564677475,0,0,0,0
226,599.076495221733,0,0,0,0
227,599.0829322552354,0,0,0,0
228,599.1638422890233,0,0,0,0
229,599.185034359888,0,0,0,0
230,599.282268964352,0,0,0,0
231,599.2808010265256,0,0,0,0
232,599.3594581012605,0,0,0,0
233,599.3827847995661,0,0,0,0
234,599.4161801674527,0,0,0,0
235,599.4462009601059,0,0,0,0
236,599.4578462299746,0,0,0,0
237,599.5915623075343,0,0,0,0
238,599.592133521507,0,0,0,0
239,599.6341408749159,0,0,0,0
240,599.5688266910049,0,0,0,0
241,599.5709234903126,0,0,0,0
242,599.6911968785824,0,0,0,0
243,599.7064420495974,0,0,0,0
244,599.6726753703039,0,0,0,0
245,599.8146232794971,0,0,0,0
246,599.9437906165795,0,0,0,0
247,600.0251406018747,0,0,0,0
248,600.1013900084541,0,0,0,0
249,600.2298805560995,0,0,0,0
250,600.4413124475743,0,0,0,0
251,600.6483168547619,0,0,0,0
252,600.7938854489164,0,0,0,0
253,600.8297589199615,0,0,0,0
254,600.9764690063198,0,0,0,0
255,601.0238651152109,0,0,0,0
256,601.0982731673846,0,0,0,0
257,601.2034445436075,0,0,0,0
258,601.3811685486769,0,0,0,0
259,601.5518209393899,0,0,0,0
260,601.6187972889247,0,0,0,0
261,601.6015860250247,0,0,0,0
262,601.6263676862569,0,0,0,0
263,601.730207946528,0,0,0,0
264,601.8367550771279,0,0,0,0
265,601.8322827970069,0,0,0,0
266,601.8435244200356,0,0,0,0
267,601.9749336748696,0,0,0,0
268,602.0584245076586,0,0,0,0
269,602.1066419591599,0,0,0,0
270,602.1508238276299,0,0,0,0
271,602.2012702307707,0,0,0,0
272,602.2368250656499,0,0,0,0
273,602.2471885929513,0,0,0,0
274,602.324740057884,0,0,0,0
275,602.47476365967,0,0,0,0
276,602.4803491900141,0,0,0,0
277,602.4727414192499,0,0,0,0
278,602.507540521494,0,0,0,0
279,602.5753222577359,0,0,0,0
280,602.5578212241612,0,0,0,0
281,602.545001046536,0,0,0,0
282,602.6470925784239,0,0,0,0
283,602.7181589668024,0,0,0,0
284,602.8125172795134,0,0,0,0
285,602.9011865194855,0,0,0,0
286,602.9733951253004,0,0,0,0
287,603.0943877114657,0,0,0,0
288,603.2092242114237,0,0,0,0
289,603.2822499787577,0,0,0,0
290,603.3749703640982,0,0,0,0
291,603.3505748096629,0,0,0,0
292,603.376350237238,0,0,0,0
293,603.3630613854077,0,0,0,0
294,603.4419666755889,0,0,0,0
295,603.4073561301084,0,0,0,0
296,603.4644246434152,0,0,0,0
297,603.5662406974624,0,0,0,0
298,603.6006774060305,0,0,0,0
299,603.6331148512895,0,0,0,0
300,603.7083935373703,0,0,0,0
301,603.7528795811519,0,0,0,0
302,603.7477936018532,0,0,0,0
303,603.7693670556874,0,0,0,0
304,603.7939150308787,0,0,0,0
305,603.8183331178903,0,0,0,0
306,603.976427398319,0,0,0,0
307,604.0247113794377,0,0,0,0
308,604.1132751860447,0,0,0,0
309,604.1217908828363,0,0,0,0
310,604.2091736115528,0,0,0,0
311,604.2721780906626,0,0,0,0
312,604.3166442634617,0,0,0,0
313,604.3236676127405,0,0,0,0
314,604.2713935276913,0,0,0,0
315,604.2628887808397,0,0,0,0
316,604.3287047896046,0,0,0,0
317,604.3395667295725,0,0,0,0
318,604.4039873102762,0,0,0,0
319,604.501914461548,0,0,0,0
320,604.5575199357112,0,0,0,0
321,604.6420647149461,0,0,0,0
322,604.6825272411514,0,0,0,0
323,604.7134297710626,0,0,0,0
324,604.7082862293379,0,0,0,0
325,604.7994606782656,0,0,0,0
326,604.8646004254026,0,0,0,0
327,604.8991731532241,0,0,0,0
328,604.9704576347983,0,0,0,0
