generation,average life time
0,481.7191489361702
1,481.3806768874747
2,487.81943804698295
3,493.19508448540705
4,496.2391695275462
5,499.01414892096614
6,501.89356026927476
7,504.5452061033933
8,506.1107898812597
9,507.28854542006445
10,508.3265931372549
11,509.109437019036
12,510.1761638452237
13,510.81182566723453
14,510.66791243993595
15,510.78439904149326
16,511.4625
17,511.90841807909607
18,512.2140592250229
19,512.7340174448435
20,512.9523434810407
21,513.0406776461706
22,513.0911889884995
23,513.0591079362314
24,513.1549578987056
25,513.4304027822711
26,513.5539911611718
27,513.928927680798
28,513.809607434237
29,514.0319453780027
30,514.1503839297957
31,514.6442291687473
32,514.5946532025763
33,514.6857978489213
34,515.0813768647591
35,515.3595525673826
36,515.8373499204398
37,516.128296990042
38,516.041205615194
39,515.9721557771387
40,516.0775653817876
41,516.3979479286905
42,516.652719665272
43,516.834966199667
44,516.8240362920648
45,516.9342003333412
46,517.0462837293828
47,517.0950844819419
48,517.0727409571878
49,517.1683121053659
50,517.0828325448579
51,517.0005437510457
52,516.8060572438308
53,516.669160801081
54,516.704567522045
55,516.711630987397
56,516.7807682007727
57,516.5915524770365
58,516.6250740521327
59,516.5895279188742
60,516.5009770001614
61,516.3846750727449
62,516.3540639110803
63,516.2782738095239
64,516.3022534594057
65,516.4031018049583
66,516.43725762906
67,516.5445926117033
68,516.4711720452341
69,516.5150522123616
70,516.4583475113682
71,516.4044952392578
72,516.4016836588709
73,516.3317372036998
74,516.3264536206567
75,516.2282402376295
76,516.1891393002791
77,516.3158006332693
78,516.2925483623158
79,516.3406702660903
80,516.304670550833
81,516.2997733894464
82,516.3317555134804
83,516.3125074174194
84,516.5139171227521
85,516.3693007551741
86,516.4424245512567
87,516.4098571320584
88,516.4346754006899
89,516.5202468801202
90,516.6100319286359
91,516.5809894828252
92,516.687458249833
93,516.663994616547
94,516.7580699807231
95,516.7895181154811
96,516.8286420714048
97,516.886489856058
98,516.9719191216875
99,516.9667806546165
100,516.8829560205047
101,516.400660087576
102,516.4377244153071
103,516.3763028620248
104,515.878934343007
105,514.9284710275668
