generation,average life time
0,470.9908903908316
1,477.35491939966647
2,482.0886309680823
3,486.9159347553325
4,492.2141312184571
5,497.06442705936496
6,501.5761443661972
7,504.5583226905066
8,509.22201872201873
9,513.1261278932915
10,516.6017013232514
11,518.8440801457195
12,520.9869442484121
13,523.5378581173261
14,525.3833029650489
15,527.5688853247794
16,529.2241594022416
17,531.9070856624868
18,534.3529584495669
19,536.3431876606684
20,538.1755045233125
21,540.1995117319951
22,541.5082726671079
23,542.8777534458328
24,543.947388342165
25,545.4914503628983
26,546.8295947901591
27,547.9774197342115
28,549.2532504890116
29,550.3752953088086
30,551.3263146290376
31,552.9379652605459
32,554.4863151220543
33,555.6196249093358
34,556.894319682959
35,558.3026800836903
36,559.2693286357409
37,559.9034396617986
38,560.6278916060807
39,561.4787451271579
40,561.916088385683
41,562.9616659202866
42,563.7335152742319
43,564.1620126221146
44,564.8364704880333
45,565.3518223711773
46,566.1159336578926
47,566.9912493923189
48,567.0652278177458
49,567.7482088024565
50,568.4317758460105
51,568.9815481203583
52,569.4774822427082
53,570.0956139697669
54,570.5267837460505
55,570.718238447052
56,570.6856407322655
57,571.0759618778679
58,571.4340804677711
59,572.0597086711557
60,572.3705338948513
61,572.5375990331677
62,572.8742864728528
63,572.9261639344262
64,573.3170036288233
65,573.649734161809
66,573.8974521084908
67,574.1387969267287
68,574.3701370878103
69,574.8278978868939
70,575.4382198637159
71,575.450831892182
72,575.7759962273049
73,575.9281964535697
74,576.0542756510191
75,576.7213255004848
76,577.0671633367198
77,577.3507742187936
78,577.7397245118106
79,577.6075595727198
80,578.0820143104944
81,578.347083467612
82,578.436684941715
83,578.7902197396849
84,578.7775225766038
85,578.9417907361455
86,579.2599498027967
87,579.5190033998072
88,579.8081158545783
89,579.7556730337639
90,579.9640088866946
91,580.5415566637332
92,580.9187303125757
93,581.2856800076783
94,581.5275351310293
95,581.6836749116608
96,581.8486519321527
97,581.8027705707932
98,581.9476800220294
99,581.9630455559095
100,582.1104136560693
101,582.2174068767908
102,582.4009505196766
103,582.7063300048388
104,582.910419757396
105,582.8671725932351
106,582.9587815162206
107,583.1167627589152
108,583.1901085850017
109,583.3529139490848
110,583.5655224254573
111,583.7623192009615
112,583.889391633417
113,584.0309425643957
114,584.3787406357562
115,584.5406654343808
116,584.6822821146638
117,584.8789101119152
118,584.860655737705
119,585.0345767463593
120,585.2219645135103
121,585.4399754375191
122,585.5022296756489
123,585.588181852595
124,585.8459457428421
125,586.152448126586
126,586.4038539929591
127,586.4793683513086
128,586.687059167489
129,586.9000181389443
130,586.9228410648583
131,587.0553206735937
132,587.3981847303791
133,587.5267885560703
134,587.8389428982557
135,587.8869556121203
136,588.0364902796548
137,588.0784090909091
138,588.3220686824463
139,588.4299452883406
140,588.6937576003243
141,588.8001007049345
142,588.922240021359
143,588.992538303376
144,589.1846529105412
145,589.2153745287658
146,589.422714988115
147,589.5136053321254
148,589.6651242006491
149,589.8298898291554
150,589.7909836065573
151,589.9982640532778
152,590.0721568627451
153,590.2086568746687
154,590.4374689980159
155,590.7117897202021
156,590.7996077349759
157,590.8919709809181
158,590.9752364209505
159,591.0189133839297
160,590.9872674436023
161,591.0093583286144
162,591.1565415716359
163,591.3971510139212
164,591.4570567407018
165,591.6321086773133
166,591.7569858258606
167,591.9260526921307
168,592.0617718620294
169,592.138226421538
170,592.0944576539855
171,592.1993296529969
172,592.2838326373903
173,592.351506536221
174,592.4456509695291
175,592.6182734962665
176,592.7999451679233
177,592.7096298722568
178,592.6802726630818
179,592.7477017088471
180,592.7901819356227
181,592.903748760685
182,593.1711560493433
183,593.1919291077445
184,593.2937247551414
185,593.4057339389325
186,593.5445208164546
187,593.6250487506825
188,593.7385658112582
189,593.8093644624057
190,594.0085281839835
191,594.1350834713903
192,594.3612230927208
193,594.463926110985
194,594.3887633112316
195,594.5363590897724
196,594.5015051623336
197,594.5130053507729
198,594.4166317295125
199,594.3003511874064
200,594.3722584904276
