generation,average life time
0,488.52358090934763
1,490.80527875033664
2,494.8642070202408
3,498.2970175006162
4,502.23991507431
5,507.02078156765305
6,510.4124513618677
7,515.1281256457946
8,518.483032347688
9,521.3713685015291
10,523.2287870421499
11,525.7587131367292
12,528.8710957722175
13,531.5850567044696
14,533.0012980691222
15,535.0067791265963
16,535.9190432382704
17,537.3229088732605
18,538.4136522753793
19,538.9720757942727
20,540.2826418759539
21,542.7790681971641
22,544.3908515686792
23,545.4806701030927
24,547.1007049345418
25,548.4033448106247
26,549.3110496573283
27,550.2989994114184
28,551.6330454807139
29,552.5714608009024
30,553.2910662824207
31,554.6853373702422
32,555.5863857717552
33,556.553313221679
34,556.977105478332
35,557.4451011821278
36,558.8551236749116
37,559.5899141837817
38,560.4667613636364
39,560.942644320298
40,561.7055108019041
41,562.0060425685426
42,562.4398616285258
43,562.7389179755672
44,563.044419623679
45,563.5235115020298
46,563.8633369465522
47,564.1286300246103
48,564.8198822865436
49,565.5143242599794
50,565.8197760901902
51,566.3417906994679
52,566.7380390963718
53,566.8899165350779
54,567.2305072195484
55,567.4950270586514
56,567.8753428612675
57,568.294985040604
58,568.7745400926837
59,569.4741982406317
60,570.0460876689881
61,570.4241933306332
62,570.7335155677046
63,571.1131343676045
64,571.747613171397
65,572.1260034679854
66,572.454274101359
67,572.6312613914902
68,573.3154433207172
69,573.6938600257621
70,574.3640885653624
71,574.8651712349307
72,575.2425463813645
73,575.4404880624156
74,575.9204802505656
75,576.4307842349837
76,576.9284296489536
77,577.0319698842567
78,577.0837180842187
79,577.4527524447863
80,577.8904466905772
81,578.2613819825638
82,578.5091005854177
83,578.658203125
84,579.1060550650436
85,579.4219979296066
86,579.7779144878499
87,579.9466327827192
88,580.4084365247156
89,580.8017856252183
90,581.4803597015663
91,581.4190956743251
92,581.7674113647402
93,581.6906457511308
94,582.0450076365025
95,582.4702822828502
96,582.4863370049214
97,582.532564734322
98,582.7215568862275
99,582.9366210045662
100,583.430155210643
101,583.4109952350984
102,583.3450719921544
103,583.4672475562829
104,583.898886746143
105,584.0013914858459
106,584.1674785532612
107,584.2554347826087
108,584.4457974457974
109,584.5086330329318
110,584.842019543974
111,585.0699718123032
112,585.337228439763
113,585.572612244898
114,585.6845067001336
115,586.0298303449385
116,586.3217502191759
117,586.5758713348613
118,586.8338953807545
119,587.1706994475998
120,587.2266615146832
121,587.6197393637409
122,587.8494635927871
123,587.7933055975794
124,587.8522705930963
125,587.9049930910857
126,587.9974426448241
127,588.0759880658587
128,588.1674408397645
129,588.2887920072661
130,588.2713852595106
131,588.2479661685123
132,588.3374270254877
133,588.6579309857663
134,588.8318301456396
135,588.8703949204577
136,589.0511497437318
137,589.351212798899
138,589.2664934709783
139,589.5400624702927
140,589.6167313206274
141,589.7052433954674
142,589.7908921313879
143,589.8581219786769
144,589.8187623436471
145,589.899865921057
146,590.0013303913297
147,589.9843215691335
148,590.0282038118462
149,590.2940482642099
150,590.2035639545944
151,590.3739289314516
152,590.3596790874049
153,590.5809144138533
154,590.5408273770847
155,590.5303823185372
156,590.5335088632397
157,590.4296806016503
158,590.5097825428554
159,590.5478829127267
160,590.4597725231966
161,590.4232098177052
162,590.1947932709395
163,590.1017288604836
164,590.080274221428
165,590.0167361576814
166,590.0060289855072
167,590.0046132110832
168,589.9219628312493
169,589.8193001484187
170,589.7451197366928
171,589.7112227049597
172,589.7027974971239
173,589.5198358413132
174,589.5437432323625
175,589.4796262508985
176,589.4342742379223
177,589.3856200202612
178,589.318692404166
179,589.534330866607
180,589.5375219091277
181,589.6466439623501
182,589.5478534646069
183,589.4484515564047
184,589.4927888425168
185,589.3851575237995
186,589.3405051694805
187,589.2975536044603
188,589.265548005602
189,589.2008414640442
190,589.2564122313795
191,589.3022744697163
192,589.3384709293454
193,589.2715733468457
194,589.317305025341
195,589.2125169521322
196,589.2010900817561
197,589.2994648413193
198,589.2351934948063
199,589.1688314895298
200,589.0898962073885
